speed,energy_over_a_c,production_rate_over_a_c,reference_rate_over_a_c,absolute_difference,relative_difference
0.85,1.44,2.04256160731228122e-04,2.04256160732589148e-04,1.36102609217536585e-15,6.66332945500337937e-12
0.85,1.48,1.79441736288433860e-04,1.79441736339594921e-04,5.11610610647028619e-14,2.85112383040476943e-10
0.85,1.52,1.57642932519196809e-04,1.57642932514733474e-04,4.46333508347107610e-15,2.83129412290901668e-11
0.85,1.56,1.38492484343390090e-04,1.38492484363837384e-04,2.04472940315558738e-14,1.47641903641776182e-10
0.85,1.60,1.21668146675407606e-04,1.21668146696429541e-04,2.10219347355003472e-14,1.72780923407599289e-10
0.85,1.64,1.06887172768866401e-04,1.06887172732490307e-04,3.63760941941154714e-14,3.40322353601353095e-10
0.85,1.68,9.39014053149170129e-05,9.39014053168708807e-05,1.95386784009043968e-15,2.08076528087849224e-11
0.85,1.72,8.24929507480579412e-05,8.24929507350676135e-05,1.29903276720536032e-14,1.57471972529786565e-10
0.85,1.76,7.24703975742538352e-05,7.24703975405142361e-05,3.37395991137010021e-14,4.65563875164877298e-10
0.85,1.80,6.36655312255757840e-05,6.36655312461446849e-05,2.05689008577272792e-14,3.23077502930172201e-10
0.85,1.84,5.59304910547927500e-05,5.59304910518664206e-05,2.92632942617415681e-15,5.23208248513402616e-11
0.85,1.88,4.91353096769000863e-05,4.91353096778978708e-05,9.97784483074831696e-16,2.03068727889519494e-11
0.85,1.92,4.31657711633137527e-05,4.31657711998444812e-05,3.65307285289662165e-14,8.46289259140998052e-10
