speed,energy_over_a_c,production_rate_over_a_c,mode_sum_rate_over_a_c,absolute_difference,relative_difference
0.85,0.40,5.93515835707789183e-03,5.93515835703584821e-03,4.20436255255118851e-14,7.08382540049182783e-12
0.85,0.44,5.20241131445280114e-03,5.20241131476032164e-03,3.07520502118574512e-13,5.91111474108313872e-11
0.85,0.48,4.56300701266494895e-03,4.56300701328192330e-03,6.16974353551125176e-13,1.35212229951706558e-10
0.85,0.52,4.00617497345721277e-03,4.00617497426219299e-03,8.04980214430539576e-13,2.00934861707779191e-10
0.85,0.56,3.52118022536127570e-03,3.52118022612435584e-03,7.63080137272664771e-13,2.16711468390972230e-10
0.85,0.60,3.09740714675877434e-03,3.09740714636598698e-03,3.92787365133262512e-13,1.26811667492308134e-10
0.85,0.64,2.72455595096432685e-03,2.72455595174257281e-03,7.78245957261392007e-13,2.85641392963004171e-10
0.85,0.68,2.39517081437907661e-03,2.39517081518076606e-03,8.01689443996611573e-13,3.34710760049114572e-10
0.85,0.72,2.10463960723592880e-03,2.10463960774325259e-03,5.07323783677238183e-13,2.41050193016764326e-10
0.85,0.76,1.84878422833009205e-03,1.84878422857071597e-03,2.40623927033611906e-13,1.30152520405064703e-10
0.85,0.80,1.62375631575569423e-03,1.62375631579353571e-03,3.78414747453925671e-14,2.33048976483268055e-11
0.85,0.84,1.42603558400887466e-03,1.42603558392329186e-03,8.55827995277502751e-14,6.00144908672586654e-11
0.85,0.88,1.25242441029386488e-03,1.25242441016191097e-03,1.31953909604520803e-13,1.05358781363469326e-10
0.85,0.92,1.10003889530823989e-03,1.10003889519010066e-03,1.18139222363145002e-13,1.07395495631751324e-10
0.85,0.96,9.66296660249965330e-04,9.66296660180636130e-04,6.93291994993683325e-14,7.17473239392219133e-11
0.85,1.00,8.48901674201700106e-04,8.48901674190078869e-04,1.16212378262203764e-14,1.36897336635694356e-11
0.85,1.04,7.45826434350666759e-04,7.45826434384882662e-04,3.42159026806010402e-14,4.58764949901788719e-11
0.85,1.08,6.55291845419649012e-04,6.55291845476335872e-04,5.66868600671011080e-14,8.65062803061360599e-11
0.85,1.12,5.75745163994990667e-04,5.75745164049314075e-04,5.43234077512999569e-14,9.43532158728597010e-11
0.85,1.16,5.05836387970909481e-04,5.05836388004587837e-04,3.36783552434827271e-14,6.65795424017167991e-11
0.85,1.20,4.44393480978059043e-04,4.44393480983654014e-04,5.59497110100282136e-15,1.25901286594449827e-11
0.85,1.24,3.90396826376533006e-04,3.90396826357513119e-04,1.90198876613700829e-14,4.87193705923015587e-11
0.85,1.28,3.42953447218928347e-04,3.42953447186480995e-04,3.24473520968426854e-14,9.46115350728620339e-11
0.85,1.32,3.01274785174889491e-04,3.01274785142692156e-04,3.21973350758675281e-14,1.06870327898891281e-10
0.85,1.36,2.64663588723805271e-04,2.64663588703147479e-04,2.06577918833439345e-14,7.80530181146835790e-11
0.85,1.40,2.32504644021534176e-04,2.32504644017931861e-04,3.60231592819171276e-15,1.54935224774000014e-11
0.85,1.44,2.04256160731228122e-04,2.04256160743502104e-04,1.22739817441652743e-14,6.00911213619574504e-11
0.85,1.48,1.79441736288433860e-04,1.79441736310094403e-04,2.16605433676214654e-14,1.20710732146448604e-10
0.85,1.52,1.57642932519196809e-04,1.57642932541376008e-04,2.21791985818842186e-14,1.40692628742255348e-10
0.85,1.56,1.38492484343390090e-04,1.38492484358191130e-04,1.48010401677944881e-14,1.06872515403173077e-10
0.85,1.60,1.21668146675407606e-04,1.21668146678435824e-04,3.02821732533348209e-15,2.48891547048624204e-11
0.85,1.64,1.06887172768866401e-04,1.06887172760320449e-04,8.54595257407386732e-15,7.99530229248084934e-11
0.85,1.68,9.39014053149170129e-05,9.39014052990081349e-05,1.59088779476401765e-14,1.69421084774843293e-10
0.85,1.72,8.24929507480579412e-05,8.24929507311419750e-05,1.69159662406076494e-14,2.05059536489845687e-10
0.85,1.76,7.24703975742538352e-05,7.24703975623745302e-05,1.18793050483262386e-14,1.63919413276322118e-10
0.85,1.80,6.36655312255757840e-05,6.36655312224610880e-05,3.11469600111635714e-15,4.89227992181976482e-11
0.85,1.84,5.59304910547927500e-05,5.59304910608165637e-05,6.02381371780230657e-15,1.07701784903913217e-10
0.85,1.88,4.91353096769000863e-05,4.91353096892074005e-05,1.23073141847056255e-14,2.50478001717142611e-10
0.85,1.92,4.31657711633137527e-05,4.31657711771141556e-05,1.38004028777533039e-14,3.19707085068135453e-10
